Block,Location Description,Latitude,Longitude,X Coordinate,Y Coordinate,Community Area,Ward,District,Beat,LocationID
015XX W 61ST ST,RESIDENCE,41.783133836,-87.662640562,1167171.0,1864278.0,67,15,7,713,369398
055XX S TALMAN AVE,SIDEWALK,41.792764249,-87.690116778,1159651.0,1867730.0,63,16,8,824,231928
015XX W JARVIS AVE,SIDEWALK,42.016035274,-87.668927703,1164799.0,1949134.0,1,49,24,2422,466037
027XX N HALSTED ST,OTHER,41.93182207,-87.648979521,1170465.0,1918489.0,7,43,19,1935,130332
031XX W 80TH ST,VEHICLE NON-COMMERCIAL,41.748003304,-87.700732921,1156876.0,1851398.0,70,18,8,835,69161
028XX W 81ST ST,RESIDENCE,41.746281927,-87.694161127,1158674.0,1850784.0,70,18,8,835,713668
006XX W HARRISON ST,CTA TRAIN,41.874367421,-87.642789017,1172318.0,1897566.0,28,2,1,124,31354
088XX S MANISTEE AVE,STREET,41.734678755,-87.556909678,1196167.0,1846864.0,46,7,4,423,686245
0000X E 57TH ST,VEHICLE NON-COMMERCIAL,41.791025684,-87.625026559,1177406.0,1867236.0,40,20,2,225,313825
032XX W 54TH ST,SIDEWALK,41.795333265,-87.704055979,1155843.0,1868638.0,63,14,8,822,249630
014XX E HYDE PARK BLVD,DEPARTMENT STORE,41.802425216,-87.59151444,1186509.0,1871467.0,41,4,2,234,697311
064XX S OAKLEY AVE,RESIDENCE,41.776510546,-87.681000121,1162182.0,1861826.0,66,15,8,825,221773
046XX N KENNETH AVE,ALLEY,41.965105201,-87.739955706,1145626.0,1930433.0,16,45,17,1722,408463
0000X E 116TH ST,SIDEWALK,41.682547494,-87.622183276,1178508.0,1827714.0,53,9,5,532,615166
045XX W WEST END AVE,STREET,41.883205957,-87.738800838,1146147.0,1900591.0,26,28,11,1113,405320
043XX W WILCOX ST,RESIDENCE,41.878766533,-87.734196884,1147412.0,1898982.0,26,28,11,1115,39387
021XX E 96TH ST,RESIDENCE-GARAGE,41.720670501,-87.573133213,1191784.0,1841720.0,51,7,4,431,281637
0000X W ONTARIO ST,STREET,41.893255451,-87.629135655,1175980.0,1904479.0,8,42,18,1832,288443
069XX S WOOD ST,STREET,41.767724474,-87.668754141,1165547.0,1858650.0,67,17,7,735,255958
114XX S YALE AVE,ALLEY,41.686277362,-87.628918793,1176657.0,1829058.0,49,34,5,522,203742
064XX N MILWAUKEE AVE,STREET,41.997819805,-87.788301109,1132402.0,1942267.0,10,41,16,1611,257043
005XX N SPRINGFIELD AVE,RESIDENCE,41.890419927,-87.723499644,1150295.0,1903249.0,23,27,11,1122,742124
093XX S WOODLAWN AVE,STREET,41.725090566,-87.594859084,1185839.0,1843279.0,47,8,4,413,42112
0000X W GARFIELD BLVD,CTA TRAIN,41.794266626,-87.627246194,1176791.0,1868412.0,40,3,2,225,58118
023XX N CALIFORNIA AVE,CTA BUS,41.92314315,-87.697370668,1157321.0,1915225.0,22,35,14,1414,424387
115XX S WENTWORTH AVE,STREET,41.684013742,-87.627651181,1177010.0,1828236.0,53,34,5,522,258414
028XX W 86TH PL,APARTMENT,41.736213039,-87.692681838,1159105.0,1847118.0,70,18,8,835,689793
098XX S DREXEL AVE,SIDEWALK,41.71617235,-87.601850794,1183958.0,1840013.0,50,8,5,511,170036
014XX W WILLOW ST,PARKING LOT/GARAGE(NON.RESID.),41.914276781,-87.66315409,1166658.0,1912065.0,24,32,14,1433,676524
071XX S EAST END AVE,RESIDENCE,41.765441637,-87.58366018,1188768.0,1858009.0,43,5,3,324,475901
012XX S KEELER AVE,STREET,41.864729775,-87.730021617,1148585.0,1893875.0,29,24,10,1011,639632
004XX W FULLERTON PKWY,STREET,41.925579499,-87.64082962,1172701.0,1916232.0,7,43,19,1933,61725
083XX S BURNHAM AVE,OTHER,41.743802818,-87.556393025,1196278.0,1850190.0,46,7,4,423,447476
016XX N ROCKWELL ST,STREET,41.911187559,-87.692125502,1158781.0,1910879.0,24,1,14,1421,638820
040XX W DIVISION ST,SIDEWALK,41.902642474,-87.728111001,1149008.0,1907694.0,23,27,25,2534,248512
092XX S GREENWOOD AVE,STREET,41.726994473,-87.597324696,1185160.0,1843967.0,47,8,4,413,179821
006XX W BRIAR PL,SIDEWALK,41.939137828,-87.645251558,1171458.0,1921163.0,6,44,19,1934,238404
009XX N KEDZIE AVE,STREET,41.898531772,-87.706654541,1154860.0,1906238.0,23,26,12,1211,478685
039XX N GREENVIEW AVE,SIDEWALK,41.953223184,-87.667473945,1165372.0,1926248.0,6,47,19,1922,416968
038XX N SPAULDING AVE,STREET,41.950741738,-87.710378319,1153708.0,1925256.0,16,33,17,1733,652521
055XX S HERMITAGE AVE,SIDEWALK,41.792883733,-87.668208277,1165625.0,1867819.0,67,15,7,715,501731
008XX N MASSASOIT AVE,RESIDENCE,41.895441574,-87.769066556,1137876.0,1904994.0,25,29,15,1511,682770
049XX W CORNELIA AVE,RESIDENCE,41.944256383,-87.750470645,1142818.0,1922816.0,15,38,16,1634,385442
011XX N PULASKI RD,SIDEWALK,41.901842459,-87.726278212,1149509.0,1907406.0,23,27,11,1111,186373
013XX N WOLCOTT AVE,STREET,41.906112593,-87.674039812,1163718.0,1909067.0,24,1,14,1424,481330
106XX S HALE AVE,APARTMENT,41.700335869,-87.669364235,1165570.0,1834093.0,72,19,22,2212,244890
098XX S PARNELL AVE,SIDEWALK,41.715734804,-87.636995833,1174364.0,1839774.0,73,21,22,2223,304082
046XX S TALMAN AVE,RESIDENCE,41.8094301,-87.690573654,1159481.0,1873802.0,58,12,9,922,137892
046XX W MC LEAN AVE,APARTMENT,41.917877864,-87.742752292,1144984.0,1913218.0,19,31,25,2522,11523
118XX S YALE AVE,STREET,41.679305442,-87.628705639,1176736.0,1826518.0,53,34,5,522,86705
030XX W AINSLIE ST,SIDEWALK,41.970303826,-87.704587267,1155231.0,1932396.0,14,33,17,1713,636700
048XX N SAWYER AVE,RESIDENCE,41.969135334,-87.709717425,1153839.0,1931960.0,14,39,17,1713,659021
023XX W THOMAS ST,STREET,41.901221562,-87.685470016,1160620.0,1907261.0,24,1,12,1212,665293
0000X E 8TH ST,TAXICAB,41.871811902,-87.627340674,1176533.0,1896669.0,32,2,1,123,258056
130XX S BURLEY AVE,STREET,41.658709698,-87.544718304,1199748.0,1819212.0,55,10,4,433,460496
022XX N LAWNDALE AVE,STREET,41.922244789,-87.719371529,1151336.0,1914854.0,22,26,25,2525,129680
056XX S WOLCOTT AVE,SIDEWALK,41.791277091,-87.67179656,1164651.0,1867226.0,67,15,7,715,279579
024XX N MILWAUKEE AVE,OTHER,41.926296467,-87.702880861,1155813.0,1916363.0,22,35,14,1414,659300
018XX N NEWLAND AVE,RESIDENCE-GARAGE,41.913560385,-87.798593048,1129796.0,1911545.0,25,36,25,2513,95209
076XX S EGGLESTON AVE,APARTMENT,41.755294005,-87.635630161,1174620.0,1854192.0,69,17,6,621,12873
016XX N KIMBALL AVE,STREET,41.910891809,-87.711702776,1153453.0,1910732.0,23,26,14,1422,343636
0000X S STATE ST,PARKING LOT/GARAGE(NON.RESID.),41.881677299,-87.627760879,1176389.0,1900263.0,32,42,1,112,413526
037XX W GEORGE ST,RESIDENTIAL YARD (FRONT/BACK),41.933686027,-87.721533066,1150718.0,1919019.0,21,30,25,2523,3513
007XX E 89TH PL,RESIDENCE,41.73206718,-87.606136463,1182739.0,1845795.0,44,6,6,633,103412
003XX E 43RD ST,STREET,41.816592408,-87.61942932,1178855.0,1876565.0,38,3,2,213,447305
062XX S KILDARE AVE,RESIDENCE,41.779734536,-87.730115022,1148777.0,1862903.0,65,13,8,813,413322
005XX N WABASH AVE,STREET,41.89142112,-87.626709762,1176646.0,1903816.0,8,42,18,1834,187155
057XX S WASHTENAW AVE,RESIDENCE-GARAGE,41.789447194,-87.691239012,1159354.0,1866519.0,63,16,8,824,565521
026XX S TRUMBULL AVE,STREET,41.843920711,-87.711114667,1153790.0,1886329.0,30,22,10,1032,620998
010XX W 109TH ST,RESIDENCE,41.695922114,-87.648637416,1171243.0,1832529.0,75,34,22,2234,41577
133XX S AVENUE N,APARTMENT,41.652800627,-87.538668648,1201421.0,1817074.0,55,10,4,433,755765
023XX W PERSHING RD,VEHICLE NON-COMMERCIAL,41.823010814,-87.68313321,1161472.0,1878766.0,59,11,9,912,318716
037XX S DAMEN AVE,RESIDENCE,41.825967491,-87.675134234,1163644.0,1879860.0,59,11,9,912,158647
016XX E 71ST ST,SIDEWALK,41.766154563,-87.585253738,1188331.0,1858265.0,43,5,3,332,258359
009XX E 61ST ST,SIDEWALK,41.784087667,-87.603469977,1183306.0,1864757.0,42,20,3,313,77174
121XX S WALLACE ST,STREET,41.673471851,-87.636953738,1174500.0,1824374.0,53,34,5,523,659115
061XX N MELVINA AVE,RESIDENCE-GARAGE,41.993499211,-87.782867878,1133889.0,1940702.0,10,45,16,1611,732199
005XX E 90TH ST,STREET,41.731073247,-87.611280355,1181338.0,1845421.0,44,6,6,633,145606
073XX S KENWOOD AVE,APARTMENT,41.761423796,-87.592089509,1186481.0,1856525.0,43,5,3,324,294117
066XX S ARTESIAN AVE,STREET,41.772952883,-87.684691146,1161185.0,1860522.0,66,15,8,832,156770
103XX S MICHIGAN AVE,SIDEWALK,41.706954549,-87.620248055,1178963.0,1836612.0,49,9,5,512,630719
082XX S PERRY AVE,RESIDENCE,41.744628231,-87.626866909,1177043.0,1850325.0,44,21,6,622,475699
040XX W KAMERLING AVE,APARTMENT,41.905360864,-87.72737266,1149202.0,1908686.0,23,27,25,2534,32311
011XX S WABASH AVE,SIDEWALK,41.868322989,-87.625844413,1176951.0,1895401.0,32,2,1,123,699295
052XX S GREEN ST,STREET,41.799062419,-87.646510048,1171524.0,1870117.0,61,3,9,934,93254
055XX W CHICAGO AVE,GROCERY FOOD STORE,41.894860447,-87.764194002,1139204.0,1904791.0,25,37,15,1524,748881
036XX W DICKENS AVE,RESIDENCE,41.919099798,-87.717814366,1151768.0,1913711.0,22,26,25,2525,632502
055XX W VAN BUREN ST,STREET,41.87474834,-87.763186482,1139527.0,1897464.0,25,29,15,1522,680928
003XX E 130TH ST,APARTMENT,41.658254693,-87.615139009,1180506.0,1818878.0,54,9,5,533,32861
058XX W MADISON ST,GROCERY FOOD STORE,41.880154994,-87.770515674,1137518.0,1899421.0,25,29,15,1513,590178
001XX W BRAYTON ST,RESIDENCE,41.665407951,-87.625109493,1177760.0,1821462.0,53,9,5,523,68429
080XX S INGLESIDE AVE,APARTMENT,41.748739429,-87.601473872,1183960.0,1851881.0,44,8,6,631,27347
028XX W 23RD ST,VEHICLE NON-COMMERCIAL,41.850057698,-87.697236236,1157555.0,1888593.0,30,12,10,1033,607805
038XX W NORTH AVE,STREET,41.909934541,-87.72201341,1150649.0,1910363.0,23,30,25,2535,99932
092XX S AVALON AVE,STREET,41.727231878,-87.593695256,1186150.0,1844062.0,47,8,4,413,644803
051XX S SPAULDING AVE,RESIDENCE-GARAGE,41.799864776,-87.706190146,1155249.0,1870285.0,63,14,8,822,559966
018XX W HARRISON ST,STREET,41.874095657,-87.673105877,1164062.0,1897402.0,28,2,12,1231,427790
0000X S B8 ST,AIRCRAFT,41.788100574,-87.743603911,1145077.0,1865926.0,56,23,8,813,399612
014XX W GRAND AVE,RESIDENTIAL YARD (FRONT/BACK),41.89100663,-87.664730586,1166295.0,1903582.0,24,27,12,1215,391324
050XX W GLADYS AVE,STREET,41.875804091,-87.750997567,1142844.0,1897871.0,25,29,15,1533,153296
001XX N FRANKLIN ST,PARKING LOT/GARAGE(NON.RESID.),41.884833147,-87.635390369,1174302.0,1901396.0,32,42,1,122,309855
014XX E 67TH ST,ALLEY,41.773294574,-87.590229835,1186951.0,1860855.0,42,5,3,321,183556
020XX W 70TH PL,SIDEWALK,41.765705318,-87.674584891,1163962.0,1857902.0,67,17,7,735,313285
018XX S BLUE ISLAND AVE,SMALL RETAIL STORE,41.857190995,-87.661735179,1167207.0,1891266.0,31,25,12,1233,403764
007XX W 74TH ST,RESIDENCE,41.759774484,-87.64228165,1172792.0,1855810.0,68,17,7,732,547287
090XX S RIDGELAND AVE,STREET,41.730731859,-87.581583667,1189445.0,1845366.0,48,8,4,413,506980
014XX N HAMLIN AVE,VEHICLE NON-COMMERCIAL,41.906921725,-87.721564582,1150779.0,1909266.0,23,30,25,2535,666318
009XX W AGATITE AVE,ALLEY,41.962705804,-87.653197365,1169228.0,1929734.0,3,46,19,1914,521268
049XX S ASHLAND AVE,SIDEWALK,41.804228333,-87.66485233,1166508.0,1871960.0,61,16,9,931,50136
071XX S DORCHESTER AVE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.764813953,-87.590961835,1186778.0,1857763.0,43,5,3,324,476957
076XX S PEORIA ST,VEHICLE NON-COMMERCIAL,41.75557413,-87.646596414,1171627.0,1854270.0,71,17,6,621,351418
059XX W LAWRENCE AVE,RESIDENCE,41.967678627,-87.775401355,1135980.0,1931306.0,15,45,16,1622,494417
051XX S NEENAH AVE,STREET,41.798860603,-87.785666344,1133581.0,1869771.0,56,23,8,811,363142
049XX W WEST END AVE,SIDEWALK,41.883079613,-87.74947729,1143240.0,1900525.0,25,28,15,1532,370446
078XX S HOYNE AVE,STREET,41.751234921,-87.67559774,1163726.0,1852627.0,71,18,6,611,61794
032XX S HALSTED ST,SIDEWALK,41.83587241,-87.646226707,1171494.0,1883531.0,60,11,9,915,141163
078XX S WABASH AVE,STREET,41.752085496,-87.623021414,1178070.0,1853051.0,69,6,6,623,139233
093XX S LA SALLE ST,RESIDENCE-GARAGE,41.724708617,-87.627532079,1176921.0,1843065.0,49,21,6,634,451250
001XX W 96TH ST,STREET,41.719869536,-87.626500801,1177217.0,1841304.0,49,21,5,511,185412
080XX S MAPLEWOOD AVE,ALLEY,41.746905549,-87.686433857,1160781.0,1851027.0,70,18,8,835,749603
066XX W DEVON AVE,APARTMENT,41.997322636,-87.79284503,1131168.0,1942078.0,10,41,16,1611,124825
031XX W LELAND AVE,SIDEWALK,41.966635549,-87.70773413,1154385.0,1931053.0,14,33,17,1713,271972
010XX N KINGSBURY ST,PARKING LOT/GARAGE(NON.RESID.),41.90077344,-87.645689308,1171451.0,1907182.0,8,27,18,1822,111065
031XX S LITUANICA AVE,CHA APARTMENT,41.837632507,-87.648695909,1170816.0,1884167.0,60,11,9,913,468509
049XX W CRYSTAL ST,SIDEWALK,41.903223521,-87.749705228,1143128.0,1907865.0,25,37,25,2533,425141
014XX W 74TH ST,STREET,41.759505704,-87.659870188,1167994.0,1855674.0,67,17,7,734,729087
042XX W FULLERTON AVE,OTHER,41.92442179,-87.731973031,1147901.0,1915623.0,20,31,25,2524,687354
058XX W HURON ST,ALLEY,41.892860415,-87.770984454,1137360.0,1904050.0,25,29,15,1511,749508
010XX W 68TH ST,STREET,41.770579318,-87.649709982,1170734.0,1859731.0,68,17,7,724,111726
026XX N RIDGEWAY AVE,STREET,41.92855022,-87.720762645,1150941.0,1917149.0,22,35,25,2524,694194
076XX S COLFAX AVE,SIDEWALK,41.7563181,-87.561468407,1194852.0,1854738.0,43,7,4,421,625048
017XX N DAMEN AVE,STREET,41.913325207,-87.677529365,1162748.0,1911688.0,24,32,14,1434,688950
024XX W ARMITAGE AVE,OTHER,41.917561567,-87.689034125,1159605.0,1913208.0,22,1,14,1434,216270
104XX S WESTERN AVE,ALLEY,41.703819527,-87.681541308,1162235.0,1835337.0,72,19,22,2211,175915
062XX N LINCOLN AVE,DEPARTMENT STORE,41.994758989,-87.7144777,1152477.0,1941288.0,13,50,17,1711,25457
035XX W ARTHINGTON ST,SIDEWALK,41.869956929,-87.714427277,1152819.0,1895810.0,27,24,11,1133,534897
001XX W 94TH ST,STREET,41.723517276,-87.626589034,1177182.0,1842633.0,49,21,6,634,412019
005XX E 46TH ST,STREET,41.811267452,-87.612229179,1180834.0,1874641.0,38,3,2,222,83211
020XX N MOHAWK ST,STREET,41.91922562,-87.642485634,1172269.0,1913913.0,7,43,18,1812,711833
008XX E 88TH ST,SIDEWALK,41.734842034,-87.603595461,1183424.0,1846812.0,44,8,6,632,705643
089XX S MUSKEGON AVE,PARKING LOT/GARAGE(NON.RESID.),41.732942865,-87.555472437,1196565.0,1846235.0,46,7,4,423,696447
011XX W ROOSEVELT RD,ALLEY,41.867013029,-87.65572153,1168817.0,1894858.0,28,25,12,1232,287296
043XX N PULASKI RD,STREET,41.960288804,-87.727808468,1148942.0,1928701.0,16,39,17,1723,701931
061XX S WASHTENAW AVE,ALLEY,41.782063924,-87.691037691,1159429.0,1863829.0,66,15,8,825,241330
005XX E 79TH ST,ABANDONED BUILDING,41.751166262,-87.612026371,1181073.0,1852741.0,44,6,6,624,162032
131XX S EXCHANGE AVE,PARK PROPERTY,41.656687349,-87.551984848,1197769.0,1818457.0,55,10,4,433,526998
071XX S PARNELL AVE,OTHER,41.764489881,-87.63830165,1173864.0,1857537.0,68,6,7,732,33985
071XX S EAST END AVE,RESIDENCE PORCH/HALLWAY,41.765246759,-87.583655118,1188770.0,1857938.0,43,8,3,324,333866
029XX N BROADWAY,OTHER,41.935256918,-87.644238478,1171745.0,1919751.0,6,44,19,1934,632533
062XX N LINCOLN AVE,STREET,41.994758989,-87.7144777,1152477.0,1941288.0,13,50,17,1711,443405
032XX W WALNUT ST,STREET,41.885386072,-87.707014386,1154797.0,1901447.0,27,28,11,1123,69202
026XX W 13TH ST,DRIVEWAY - RESIDENTIAL,41.864960415,-87.692550901,1158791.0,1894033.0,29,28,10,1023,468215
014XX N RIDGEWAY AVE,STREET,41.90684115,-87.720349381,1151110.0,1909239.0,23,26,25,2535,103496
015XX N KOLIN AVE,PARKING LOT/GARAGE(NON.RESID.),41.908510477,-87.735076062,1147097.0,1909819.0,23,37,25,2534,33453
058XX S WHIPPLE ST,RESIDENTIAL YARD (FRONT/BACK),41.787318058,-87.699719549,1157047.0,1865726.0,63,14,8,824,353309
005XX S KILBOURN AVE,SIDEWALK,41.873858776,-87.737690484,1146473.0,1897187.0,26,24,11,1131,683958
001XX S PAULINA ST,STREET,41.879770527,-87.669257887,1165094.0,1899478.0,28,2,12,1211,260798
003XX W 116TH ST,SIDEWALK,41.683409941,-87.630330221,1176280.0,1828010.0,53,34,5,522,297761
080XX S WHIPPLE ST,STREET,41.74750617,-87.698667344,1157441.0,1851221.0,70,18,8,835,102617
057XX N ST LOUIS AVE,RESIDENCE-GARAGE,41.9854137,-87.716274871,1152013.0,1937879.0,13,39,17,1711,605144
040XX W 47TH ST,SIDEWALK,41.807849348,-87.725347086,1150005.0,1873157.0,57,14,8,815,486167
028XX W WILCOX ST,ALLEY,41.87924486,-87.697104758,1157512.0,1899229.0,27,2,11,1124,651550
005XX S DEARBORN ST,OTHER,41.875154958,-87.629220565,1176011.0,1897883.0,32,2,1,123,454429
004XX N STATE ST,ALLEY,41.8898621,-87.628001352,1176299.0,1903245.0,8,42,18,1831,476839
001XX N CENTRAL AVE,STREET,41.883149046,-87.764958956,1139024.0,1900522.0,25,29,15,1523,402484
041XX N ELSTON AVE,PARKING LOT/GARAGE(NON.RESID.),41.955921559,-87.72240132,1150424.0,1927120.0,16,39,17,1723,457807
066XX S SACRAMENTO AVE,OTHER,41.772986707,-87.698111943,1157524.0,1860507.0,66,15,8,831,606347
049XX W DAKIN ST,APARTMENT,41.952430412,-87.750815271,1142704.0,1925794.0,15,45,16,1634,18360
059XX S WASHTENAW AVE,STREET,41.785618322,-87.691134216,1159393.0,1865124.0,66,16,8,824,254440
008XX S DAMEN AVE,STREET,41.871092965,-87.676371436,1163181.0,1896301.0,28,2,12,1225,439327
006XX W ARLINGTON PL,RESIDENCE,41.926708784,-87.645171999,1171516.0,1916634.0,7,43,19,1935,641393
085XX S COTTAGE GROVE AVE,PARKING LOT/GARAGE(NON.RESID.),41.739817594,-87.604913162,1183049.0,1848622.0,44,6,6,632,132297
0000X E DELAWARE PL,HOTEL/MOTEL,41.899151086,-87.627513456,1176404.0,1906631.0,8,42,18,1833,121850
052XX W QUINCY ST,PARKING LOT/GARAGE(NON.RESID.),41.877555193,-87.755942476,1141493.0,1898500.0,25,29,15,1522,418918
042XX S LANGLEY AVE,DRIVEWAY - RESIDENTIAL,41.817969217,-87.609215504,1181635.0,1877090.0,38,4,2,214,726007
059XX S DAMEN AVE,SIDEWALK,41.786172151,-87.674085745,1164041.0,1865361.0,67,15,7,714,94167
045XX N MALDEN ST,SIDEWALK,41.964203209,-87.662366375,1166730.0,1930260.0,3,46,19,1913,667477
072XX N OLEANDER AVE,STREET,42.012197538,-87.815161541,1125069.0,1947461.0,9,41,16,1611,301199
010XX W 13TH ST,"SCHOOL, PRIVATE, BUILDING",41.865500587,-87.65380275,1169344.0,1894311.0,28,2,12,1232,492617
047XX S MICHIGAN AVE,PARKING LOT/GARAGE(NON.RESID.),41.808608378,-87.622819173,1177955.0,1873648.0,38,3,2,224,178729
016XX E 74TH PL,SIDEWALK,41.75968942,-87.584896337,1188449.0,1855910.0,43,8,3,324,161537
018XX N SPAULDING AVE,SIDEWALK,41.91471467,-87.710210746,1153849.0,1912128.0,22,26,14,1422,481234
006XX N ALBANY AVE,STREET,41.892622637,-87.704001773,1155598.0,1904090.0,23,27,12,1221,489059
051XX W SCHOOL ST,ALLEY,41.940549445,-87.754911406,1141619.0,1921457.0,15,38,16,1634,539206
012XX N HOYNE AVE,RESIDENCE,41.903774032,-87.679717307,1162179.0,1908203.0,24,32,14,1424,732754
081XX S THROOP ST,STREET,41.746198078,-87.656051678,1169074.0,1850833.0,71,21,6,613,647408
062XX W IRVING PARK RD,APARTMENT,41.952952264,-87.783746287,1133745.0,1925925.0,15,38,16,1624,345312
004XX E 75TH ST,STREET,41.758437423,-87.613579606,1180627.0,1855387.0,69,6,6,624,114135
001XX E 119TH PL,STREET,41.677159925,-87.619456931,1179269.0,1825757.0,53,9,5,532,338137
071XX S EAST END AVE,RESIDENCE,41.76547731,-87.583659765,1188768.0,1858022.0,43,8,3,324,608780
007XX W ADDISON ST,STREET,41.947311177,-87.648185297,1170636.0,1924135.0,6,46,19,1925,623492
036XX W DIVERSEY AVE,RESIDENCE-GARAGE,41.931905893,-87.717588358,1151796.0,1918378.0,21,35,25,2523,147706
019XX S TOM PKWY,STREET,41.855882728,-87.634266313,1174694.0,1890849.0,34,25,9,914,362267
003XX S MICHIGAN AVE,CTA BUS STOP,41.877959571,-87.624313409,1177339.0,1898916.0,32,2,1,114,452429
053XX N DELPHIA AVE,VEHICLE NON-COMMERCIAL,41.976608792,-87.841539327,1117975.0,1934450.0,76,41,16,1614,436647
055XX W CHICAGO AVE,PARKING LOT/GARAGE(NON.RESID.),41.894860447,-87.764194002,1139204.0,1904791.0,25,37,15,1524,389305
057XX S HONORE ST,APARTMENT,41.789787929,-87.670539446,1164998.0,1866686.0,67,15,7,715,664670
045XX N PAULINA ST,STREET,41.964143005,-87.670901121,1164409.0,1930220.0,3,47,19,1912,451155
037XX N HARLEM AVE,RESIDENCE-GARAGE,41.947005032,-87.807066054,1127415.0,1923718.0,17,36,16,1631,272971
005XX W CORNELIA AVE,STREET,41.946550373,-87.643036156,1172039.0,1923869.0,6,46,19,1925,188132
070XX S RACINE AVE,PARKING LOT/GARAGE(NON.RESID.),41.766362967,-87.654149794,1169535.0,1858185.0,68,17,7,733,264614
083XX S COTTAGE GROVE AVE,PARKING LOT/GARAGE(NON.RESID.),41.742993342,-87.605005519,1183014.0,1849779.0,44,8,6,632,184984
0000X S CLINTON ST,RESIDENCE,41.88154768,-87.641184088,1172734.0,1900186.0,28,42,1,121,599514
112XX S FAIRFIELD AVE,RESIDENCE,41.689246299,-87.689673549,1160054.0,1830010.0,75,19,22,2212,513538
035XX N JANSSEN AVE,RESIDENCE,41.946033879,-87.665203554,1166010.0,1923633.0,6,44,19,1922,718459
009XX E 76TH ST,VEHICLE NON-COMMERCIAL,41.756803646,-87.601272307,1183990.0,1854820.0,69,8,6,624,706095
027XX W BELDEN AVE,RESIDENCE,41.922962593,-87.695987156,1157698.0,1915162.0,22,1,14,1431,379351
014XX N LARAMIE AVE,SIDEWALK,41.906863415,-87.755880512,1141438.0,1909180.0,25,37,25,2533,70980
018XX N MOZART ST,RESIDENCE-GARAGE,41.914777556,-87.698148127,1157132.0,1912175.0,22,35,14,1421,328356
008XX E 88TH PL,STREET,41.733931965,-87.603327317,1183500.0,1846481.0,44,8,6,632,141141
063XX S SANGAMON ST,NURSING HOME/RETIREMENT HOME,41.77867269,-87.648403155,1171067.0,1862683.0,68,16,7,723,111422
072XX S MICHIGAN AVE,RESIDENCE,41.763043147,-87.621636007,1178415.0,1857047.0,69,6,3,323,155301
029XX S ARCHER AVE,ALLEY,41.84015067,-87.661058326,1167440.0,1885058.0,60,11,9,913,713752
035XX S SEELEY AVE,APARTMENT,41.829400016,-87.67647502,1163269.0,1881108.0,59,11,9,912,410374
039XX W CONGRESS PKWY,APARTMENT,41.874374287,-87.724012035,1150197.0,1897401.0,26,24,11,1132,312473
079XX S MORGAN ST,APARTMENT,41.749668184,-87.648861815,1171026.0,1852113.0,71,17,6,612,211800
027XX N LECLAIRE AVE,APARTMENT,41.930127323,-87.753910432,1141917.0,1917661.0,19,31,25,2521,364606
120XX S INDIANA AVE,STREET,41.675134861,-87.617733293,1179746.0,1825023.0,53,9,5,532,513085
115XX S LOOMIS ST,RESIDENCE,41.684059565,-87.656718376,1169070.0,1828189.0,53,34,5,524,282045
003XX W 51ST PL,SIDEWALK,41.800887337,-87.633771457,1174992.0,1870810.0,37,3,9,935,235451
065XX S LANGLEY AVE,APARTMENT,41.776225627,-87.608292128,1182015.0,1861881.0,42,20,3,321,360682
011XX N CALIFORNIA AVE,RESIDENCE,41.901359248,-87.696841193,1157524.0,1907288.0,24,26,12,1311,249754
051XX N LINCOLN AVE,DRUG STORE,41.975334679,-87.692313579,1158555.0,1934254.0,4,40,20,2031,15996
008XX N MONTICELLO AVE,APARTMENT,41.896238956,-87.717560111,1151897.0,1905381.0,23,27,11,1112,65517
056XX S LAFLIN ST,STREET,41.791659847,-87.662085975,1167298.0,1867386.0,67,16,7,713,709357
060XX N CALIFORNIA AVE,STREET,41.991057238,-87.699420817,1156580.0,1939969.0,2,50,24,2413,47442
011XX W BLACKHAWK ST,COMMERCIAL / BUSINESS OFFICE,41.907151626,-87.656876894,1168387.0,1909482.0,8,32,18,1822,556313
041XX N WHIPPLE ST,STREET,41.956568213,-87.704431857,1155310.0,1927391.0,16,33,17,1724,420234
020XX W LAWRENCE AVE,CTA BUS,41.968725615,-87.681410821,1161538.0,1931868.0,4,47,20,2032,118304
057XX W NORTH AVE,STREET,41.909346973,-87.76801832,1138128.0,1910063.0,25,29,25,2531,353288
013XX N MILWAUKEE AVE,STREET,41.905850072,-87.670387314,1164713.0,1908979.0,24,1,14,1433,751254
041XX N RICHMOND ST,APARTMENT,41.956313278,-87.701982161,1155977.0,1927303.0,16,33,17,1724,474385
066XX S STEWART AVE,RESIDENCE,41.7731575,-87.634868375,1174775.0,1860703.0,68,6,7,722,604062
004XX S PLYMOUTH CT,ALLEY,41.876587174,-87.628727499,1176141.0,1898406.0,32,2,1,113,616272
058XX S WABASH AVE,ABANDONED BUILDING,41.788573768,-87.623931492,1177712.0,1866345.0,40,20,2,232,173306
075XX S STONY ISLAND AVE,ALLEY,41.758506598,-87.585734738,1188224.0,1855477.0,43,8,4,411,626802
049XX N LAWNDALE AVE,VEHICLE NON-COMMERCIAL,41.970599824,-87.720760745,1150832.0,1932472.0,14,39,17,1712,95113
003XX S HOMAN AVE,SIDEWALK,41.875991361,-87.710840403,1153780.0,1898016.0,27,28,11,1134,385960
026XX S INDIANA AVE,RESIDENCE PORCH/HALLWAY,41.845187911,-87.62212465,1178034.0,1886979.0,35,2,1,133,639822
